https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1.59366E+12,7/2/20 4:00,LTC/USD,41.69,41.69,40.96,41.15,73.39817,3020.334695
1.59358E+12,7/1/20 4:00,LTC/USD,41.27,42.08,41.16,41.69,5648.630179,235491.3922
1.59349E+12,6/30/20 4:00,LTC/USD,41.72,41.72,40.88,41.27,6144.835346,253597.3547
1.5934E+12,6/29/20 4:00,LTC/USD,41.06,42.24,40.59,41.72,13952.74182,582108.3889
1.59332E+12,6/28/20 4:00,LTC/USD,40.76,42,40.51,41.06,5196.670646,213375.2967
1.59323E+12,6/27/20 4:00,LTC/USD,42.91,43.03,39.17,40.76,14922.33803,608234.498
1.59314E+12,6/26/20 4:00,LTC/USD,42.38,43.54,41.3,42.91,11098.54029,476238.3641
1.59306E+12,6/25/20 4:00,LTC/USD,41.97,42.89,41.97,42.38,4301.631933,182303.1613
1.59297E+12,6/24/20 4:00,LTC/USD,44.31,44.64,41.63,41.97,13337.60581,559779.316
1.59288E+12,6/23/20 4:00,LTC/USD,44.14,44.4,43.91,44.31,4467.956395,197975.1479
1.5928E+12,6/22/20 4:00,LTC/USD,43.51,44.51,43.5,44.14,11430.04553,504522.2096
1.59271E+12,6/21/20 4:00,LTC/USD,43.48,43.64,42.85,43.51,2014.865673,87666.80544
1.59263E+12,6/20/20 4:00,LTC/USD,43.09,43.83,42.28,43.48,4647.160727,202058.5484
1.59254E+12,6/19/20 4:00,LTC/USD,43,43.66,42.68,43.09,5603.269194,241444.8696
1.59245E+12,6/18/20 4:00,LTC/USD,43.93,43.93,42.84,43,661.64911,28450.91173
1.59237E+12,6/17/20 4:00,LTC/USD,43.67,44.97,43,43.93,8168.692598,358850.6658
1.59228E+12,6/16/20 4:00,LTC/USD,44.08,44.08,43.35,43.67,5025.387952,219458.6919
1.59219E+12,6/15/20 4:00,LTC/USD,43.02,44.18,41.84,44.08,12137.50714,535021.3149
1.59211E+12,6/14/20 4:00,LTC/USD,44.68,44.78,42.79,43.02,8287.959406,356548.0136
1.59202E+12,6/13/20 4:00,LTC/USD,44.41,45.21,44.33,44.68,4132.064374,184620.6362
1.59193E+12,6/12/20 4:00,LTC/USD,43.69,45.36,43.51,44.41,9453.943161,419849.6158
1.59185E+12,6/11/20 4:00,LTC/USD,46.61,46.84,42.26,43.69,16449.55279,718680.9613
1.59176E+12,6/10/20 4:00,LTC/USD,45.92,47.15,45.74,46.61,18396.55695,857463.5195
1.59168E+12,6/9/20 4:00,LTC/USD,46,46.58,45.42,45.92,10718.31086,492184.8348
1.59159E+12,6/8/20 4:00,LTC/USD,46.71,46.81,45.35,46,13476.69467,619927.9548
